business_name,business_name_arabic,category,subcategory,phone,whatsapp,email,area,specific_address,description,price_range,website,instagram,facebook,specialties,working_hours_notes,notes
"Marzipan Restaurant",,Restaurants & Food,Egyptian,+20 1006475932,,,New Cairo,North Teseen Street,Classic Egyptian fare with Art Deco interiors,$$$,,,,"Molokhia, Basterma rolls, Rice with pigeon",Daily 12PM-11PM,
"Reif Kushiyaki",,Restaurants & Food,Japanese,+20 12 80446862,,,New Cairo,5A By The Waterway,Modern Japanese street food,$$$,,,,"Salmon sashimi, Beef gyoza, Kushiyaki skewers",Daily 6PM-12AM,
"What the Crust",,Restaurants & Food,Italian Pizza,+20 10 05764631,,,Maadi,Road 275,Woman-led Napoletana certified pizzeria,$$,,,,"Capricciosa, Al-pesto, Diavola pizza",Daily 12PM-11PM,
"Crimson Bar & Grill",,Restaurants & Food,Mediterranean,+20 12 75055555,,,Zamalek,16 Kamal Al Tawil St,Mediterranean with Nile views,$$$,,,,"Salmon roll, Chateaubriand, Pineapple creme brulee",Daily 11AM-2AM,
"Abo Tarek Koshary",,Restaurants & Food,Egyptian Street Food,+20 2 25775935,,,Downtown Cairo,16 Maarouf St,Famous 5-story koshary restaurant,$,,,,"Traditional koshary, Egyptian national dish",Daily 12PM-12AM,
"Starbucks New Cairo",,Restaurants & Food,Coffee Shop,+20 1201234567,,,New Cairo,Cairo Festival City,International coffee chain,$$$,www.starbucks.com,,,"Coffee, Beverages, Light meals",Daily 6AM-12AM,
"Papa John's New Cairo",,Restaurants & Food,Pizza Delivery,+20 1067890123,,,New Cairo,Multiple locations,International pizza delivery,$$,www.papajohns.com.eg,,,"Pizza delivery, Online ordering",Daily 11AM-1AM,
"KFC New Cairo",,Restaurants & Food,Fast Food,+20 1023456789,,,New Cairo,Point 90 Mall,International fried chicken,$$,www.kfc-eg.com,,,"Fried chicken, Zinger, Family meals",Daily 10AM-1AM,
"Mr Jeff Laundry",,Home Services,Laundry,+20 12 010 52251,+20 12 010 52251,info@mrjeff-eg.com,Madinaty,Craftzone Madinaty,Professional laundry with pickup,$$,www.mrjeff-eg.com,,,"Dry cleaning, Wash & fold, Free pickup",Sat-Fri 10AM-11PM,
"Maddy's FRM Bakery",,Restaurants & Food,Coffee & Bakery,+20 10 12345678,,,New Cairo,New Cairo branch,Vibrant coffee and bakery mix,$$,,@maddys_FRM,,"Coffee, Fresh bakery, Packed with love",Daily 7AM-10PM,
"Dr. Ahmed Dental Clinic",,Healthcare,Dentistry,+20 1098765432,,,New Cairo,First District,General and cosmetic dentistry,$$$,,,,"General dentistry, Cosmetic, Cleaning",Sat-Thu 10AM-8PM,
"Dr. Sara Pediatric Clinic",,Healthcare,Pediatrics,+20 1045678901,,,New Cairo,Medical center,Specialized pediatric care,$$$,,,,"Child health, Vaccinations, Check-ups",Sat-Thu 2PM-8PM,
"New Cairo Pharmacy",صيدلية القاهرة الجديدة,Healthcare,Pharmacy,+20 1178901234,,,New Cairo,90th Street,Full-service pharmacy with delivery,$,,,,"Prescription drugs, OTC, Medical supplies",Daily 8AM-12AM,
"Elite Barber Shop",صالون إيليت,Beauty & Personal Care,Barber Shop,+20 1156789012,,,New Cairo,Fifth Settlement,Modern barber shop for men,$,,,,"Haircuts, Beard trimming, Styling",Daily 10AM-10PM,
"New Cairo Beauty Salon",,Beauty & Personal Care,Beauty Salon,+20 1167890123,+20 1167890123,,New Cairo,First District,Full-service beauty salon for women,$$,,,,"Hair styling, Manicure, Facial treatments",Daily 10AM-9PM,
"Ahmed Video Editor",,Digital Services,Video Editing,+20 1087654321,+20 1087654321,,New Cairo,Home-based,Professional video editing for events,$$,,,,"Wedding videos, Social media, Event coverage",Flexible hours,
"Sara Graphic Designer",,Digital Services,Graphic Design,+20 1123456789,+20 1123456789,,New Cairo,Home-based,Logo design and branding services,$,,,,"Logos, Branding, Social media posts",Mon-Fri 9AM-5PM,
"Mohamed Photography",,Digital Services,Photography,+20 1189012345,+20 1189012345,,New Cairo,Home studio,Wedding and event photography,$$,,,,"Weddings, Events, Portraits, Product photos",By appointment,
"Social Media Manager",,Digital Services,Digital Marketing,+20 1034567890,+20 1034567890,,New Cairo,Remote work,Social media management for businesses,$$,,,,"Instagram management, Content creation, Ads",Flexible schedule,
