business_name,business_name_arabic,category,subcategory,phone,whatsapp,email,area,specific_address,description,price_range,website,instagram,facebook,specialties,working_hours_notes,notes
Mario's Restaurant,,Restaurants & Food,Italian,+20 1012345678,,mario@example.com,New Cairo,Point 90 Mall,Authentic Italian pizza and pasta,$$,,,,"Pizza, Pasta, Italian",Daily 12PM-11PM,Example entry - replace with real data
Ahmed Video Editor,,Digital Services,Video Editing,+20 1087654321,+20 1087654321,,New Cairo,Home-based,Professional video editing for events,$$,,,,"Wedding videos, Social media, Event coverage",Flexible hours,
Sara Graphic Designer,,Digital Services,Graphic Design,+20 1123456789,+20 1123456789,,New Cairo,Home-based,Logo design and branding services,$,,,,"Logos, Branding, Social media posts",Mon-Fri 9AM-5PM,
Dr. Ahmed Dental Clinic,,Healthcare,Dentistry,+20 1098765432,,,New Cairo,First District,General dentistry and cosmetic treatments,$$$,,,,"General dentistry, Cosmetic, Cleaning",Sat-Thu 10AM-8PM,
Elite Barber Shop,صالون إيليت,Beauty & Personal Care,Barber Shop,+20 1156789012,,,New Cairo,Fifth Settlement,Modern barber shop for men,$,,,,"Haircuts, Beard trimming, Styling",Daily 10AM-10PM,
Quick Fix Phone Repair,,Electronics & Repair,Phone Repair,+20 1034567890,+20 1034567890,,New Cairo,Cairo Festival City Mall,iPhone and Android repair services,$$,,,,"Screen repair, Battery replacement, Software",Daily 10AM-10PM,
Home Cleaning Service,,Home Services,Cleaning,+20 1145678901,+20 1145678901,,New Cairo,Service covers all New Cairo,Professional home cleaning service,$$,,,,"Deep cleaning, Regular cleaning, Move-in/out",24/7 booking,
New Cairo Pharmacy,صيدلية القاهرة الجديدة,Healthcare,Pharmacy,+20 1178901234,,,New Cairo,90th Street,Full-service pharmacy with delivery,$,,,,"Prescription drugs, OTC, Medical supplies",Daily 8AM-12AM,
Papa John's Pizza,,Restaurants & Food,Pizza Delivery,+20 1067890123,,,New Cairo,Multiple locations,International pizza chain,$$,www.papajohns.com.eg,,,"Pizza delivery, Takeaway",Daily 11AM-1AM,
Mohamed Photography Studio,,Digital Services,Photography,+20 1189012345,+20 1189012345,,New Cairo,Home studio,Wedding and event photography,$$,,,,"Weddings, Events, Portraits, Product photos",By appointment,
Cairo Car Wash,,Automotive,Car Wash,+20 1190123456,,,New Cairo,Compound entrance area,Professional car washing and detailing,$$,,,,"Exterior wash, Interior cleaning, Detailing",Daily 8AM-8PM,
Starbucks Coffee,,Restaurants & Food,Coffee Shop,+20 1201234567,,,New Cairo,Cairo Festival City,International coffee chain,$$$,www.starbucks.com,,,"Coffee, Beverages, Light meals",Daily 6AM-12AM,
New Cairo Tutoring Center,,Education & Training,Private Tutoring,+20 1012345678,+20 1012345678,,New Cairo,Residential area,Math and English tutoring for students,$$,,,,"Math tutoring, English, SAT prep",Afternoon & evening,
KFC Restaurant,,Restaurants & Food,Fast Food,+20 1023456789,,,New Cairo,Point 90 Mall,International fried chicken chain,$$,www.kfc-eg.com,,,"Fried chicken, Fast food",Daily 10AM-1AM,
Social Media Manager Freelancer,,Digital Services,Digital Marketing,+20 1034567890,+20 1034567890,,New Cairo,Remote work,Social media management for businesses,$$,,,,"Instagram management, Content creation, Ads",Flexible schedule,
Dr. Sara Pediatric Clinic,,Healthcare,Pediatrics,+20 1045678901,,,New Cairo,Medical center,Specialized pediatric care,$$$,,,,"Child health, Vaccinations, Check-ups",Sat-Thu 2PM-8PM,
New Cairo Web Developer,,Digital Services,Web Development,+20 1056789012,+20 1056789012,,New Cairo,Home office,Custom website development,$$,,,,"WordPress, E-commerce, Custom sites",Mon-Fri 9AM-6PM,
Cairo Plumbing Services,,Home Services,Plumbing,+20 1067890123,+20 1067890123,,New Cairo,Covers all New Cairo,24/7 plumbing repair services,$$,,,,"Emergency repairs, Installation, Maintenance",24/7 emergency,
Panda Express,,Restaurants & Food,Asian Fast Food,+20 1078901234,,,New Cairo,Cairo Festival City,American Chinese fast food,$$,,,,"Chinese-American, Fast casual",Daily 10AM-11PM,
Real Estate Agent Ahmed,,Professional Services,Real Estate,+20 1089012345,+20 1089012345,,New Cairo,Multiple areas,New Cairo property sales and rentals,$$$,,,,"Property sales, Rentals, Consultation",By appointment, 
